CVE,Localization_Function_name,Localization_File_name,Localization_Vulnerable_OS_component,CWE_Weakness_Type,Reasoning_root_cause,Reasoning_secure_coding_violation,Reasoning_mitigation,Reasoning_cia_impact,Reasoning_exploit_expl,Exploit_Exploit_Code,Exploit_exploited_versions,Exploit_abusable_interfaces,Exploit_exploit_steps,Exploit_privs_req,Exploit_exploit_privs,Exploit_remote_exploitability,Exploit_crash_dump,Patch_patch_expl,Patch_patch_date,Patch_patched_versions,Patch_Code_diff,Patch_Patch_code,SCORES_score_explain
CVE-2013-4514,3.0,5.0,3.0,5.0,4.0,3.0,1.0,5.0,5.0,5.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,3.0
CVE-2020-12826,5.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,3.0,5.0
CVE-2010-3904,5.0,1.0,5.0,1.0,5.0,5.0,3.0,4.0,4.0,1.0,4.0,5.0,3.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0
CVE-2020-12769,1.0,1.0,5.0,1.0,5.0,2.0,1.0,5.0,1.0,5.0,5.0,3.0,3.0,2.0,1.0,5.0,1.0,1.0,3.0,5.0,1.0,1.0,2.0
CVE-2019-15922,5.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,5.0,1.0,3.0
CVE-2020-25211,5.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,1.0,5.0,2.0,5.0,5.0,1.0,3.0,5.0,1.0,5.0,1.0,2.0,1.0,1.0,
CVE-2010-1636,5.0,5.0,3.0,1.0,5.0,3.0,1.0,5.0,,1.0,2.0,3.0,3.0,3.0,1.0,5.0,5.0,5.0,1.0,2.0,5.0,5.0,3.0
CVE-2017-18509,3.0,1.0,5.0,1.0,5.0,3.0,1.0,1.0,4.0,5.0,4.0,3.0,5.0,3.0,1.0,5.0,5.0,2.0,1.0,5.0,5.0,1.0,3.0
CVE-2019-15031,3.0,5.0,5.0,1.0,3.0,4.0,1.0,4.0,3.0,5.0,3.0,3.0,3.0,5.0,1.0,5.0,5.0,4.0,1.0,3.0,1.0,1.0,3.0
CVE-2020-25669,1.0,1.0,5.0,5.0,5.0,3.0,1.0,5.0,1.0,1.0,2.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,4.0
CVE-2022-0185,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,4.0,5.0,1.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0
CVE-2020-10942,5.0,5.0,3.0,4.0,5.0,3.0,1.0,3.0,1.0,5.0,2.0,2.0,3.0,3.0,2.0,4.0,1.0,5.0,2.0,5.0,1.0,1.0,2.0
CVE-2021-27365,1.0,1.0,5.0,1.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0
CVE-2011-4604,5.0,5.0,4.0,5.0,3.0,3.0,1.0,5.0,1.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,3.0,1.0,1.0,1.0,1.0,5.0
CVE-2011-4087,5.0,5.0,4.0,1.0,5.0,4.0,1.0,5.0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,5.0
CVE-2013-6367,5.0,1.0,4.0,1.0,5.0,5.0,3.0,4.0,5.0,1.0,3.0,4.0,3.0,1.0,1.0,4.0,5.0,4.0,5.0,1.0,1.0,1.0,3.0
CVE-2019-15924,5.0,5.0,3.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0
CVE-2013-1848,1.0,5.0,4.0,5.0,5.0,3.0,3.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,3.0,3.0,3.0
CVE-2017-16939,3.0,1.0,4.0,5.0,4.0,2.0,1.0,5.0,4.0,5.0,3.0,3.0,1.0,5.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0
CVE-2015-0239,5.0,5.0,5.0,1.0,3.0,3.0,4.0,5.0,1.0,1.0,2.0,3.0,5.0,5.0,1.0,5.0,5.0,4.0,1.0,2.0,5.0,1.0,5.0
CVE-2021-23133,1.0,5.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,5.0,2.0,2.0,1.0,4.0,5.0,2.0,1.0,5.0,5.0,1.0,5.0,1.0,2.0
CVE-2013-4348,5.0,5.0,5.0,1.0,5.0,2.0,1.0,5.0,1.0,5.0,3.0,2.0,3.0,4.0,1.0,5.0,5.0,,1.0,1.0,1.0,1.0,3.0
CVE-2013-6431,1.0,1.0,4.0,1.0,5.0,3.0,2.0,2.0,3.0,5.0,3.0,2.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,3.0
