Year,Quarter,no_threads,no_linux_vuln_threads,total_messages
2023,Q1,135,11,23
2023,Q2,131,6,26
2023,Q3,136,12,22
2023,Q4,175,4,7
2024,Q1,167,4,16
2024,Q2,146,6,12
2024,Q3,154,4,23
2024,Q4,102,2,6
2008,Q1,47,1,3
2008,Q1,47,1,3
2008,Q2,108,2,3
2008,Q3,136,14,30
2008,Q4,124,17,56
2009,Q1,117,16,32
2009,Q2,100,17,43
2009,Q3,107,21,53
2009,Q4,0,0,0
2010,Q1,114,30,73
2010,Q2,125,18,50
2010,Q3,147,26,57
2010,Q4,128,34,80
2011,Q1,200,41,120
2011,Q2,171,36,98
2011,Q3,178,22,47
2011,Q4,201,22,63
2012,Q1,228,22,68
2012,Q2,194,14,64
2012,Q3,192,11,36
2012,Q4,188,8,15
2013,Q1,244,28,151
2013,Q2,218,19,60
2013,Q3,218,16,38
2013,Q4,211,16,39
2014,Q1,236,19,61
2014,Q2,254,23,79
2014,Q3,241,12,48
2014,Q4,284,16,33
2015,Q1,373,26,110
2015,Q2,316,21,82
2015,Q3,259,12,27
2015,Q4,257,19,65
2016,Q1,313,28,70
2016,Q2,306,29,60
2016,Q3,301,14,78
2016,Q4,364,27,56
2017,Q1,327,26,56
2017,Q2,294,16,30
2017,Q3,269,18,55
2017,Q4,189,21,50
2018,Q1,166,9,9
2018,Q2,129,7,19
2018,Q3,147,17,39
2018,Q4,128,9,21
2019,Q1,123,5,7
2019,Q2,114,6,8
2019,Q3,119,9,14
2019,Q4,103,5,9
2020,Q1,84,1,1
2020,Q2,139,14,23
2020,Q3,124,8,15
2020,Q4,134,12,17
2021,Q1,171,20,66
2021,Q2,137,18,25
2021,Q3,114,11,18
2021,Q4,114,6,12
2022,Q1,143,16,19
2022,Q2,127,24,48
2022,Q3,137,16,28
2022,Q4,135,6,14
2025,Q1,95,0,0
