column,n,k,q
CWE_Weakness_Type,100,91,0.0
Exploit_Exploit_Code,100,91,0.0
Exploit_abusable_interfaces,100,91,0.0
Exploit_crash_dump,100,91,0.0
Exploit_exploit_privs,100,91,0.0
Exploit_exploit_steps,100,91,0.0
Exploit_exploited_versions,100,91,1.0
Exploit_privs_req,100,91,0.0
Exploit_remote_exploitability,99,90,0.0
Localization_File_name,100,91,0.0
Localization_Function_name,100,91,0.0
Localization_Vulnerable_OS_component,100,91,0.0
Patch_Code_diff,100,91,0.0
Patch_Patch_code,100,91,0.0
Patch_patch_date,100,91,0.0
Patch_patch_expl,100,91,0.0
Patch_patched_versions,100,91,0.0
Reasoning_cia_impact,100,91,1.333
Reasoning_exploit_expl,100,91,1.0
Reasoning_mitigation,100,91,0.0
Reasoning_root_cause,100,91,0.0
Reasoning_secure_coding_violation,98,90,1.0
SCORES_score_explain,100,91,0.0
