CVE,Localization_Function_name,Localization_File_name,Localization_Vulnerable_OS_component,CWE_Weakness_Type,Reasoning_root_cause,Reasoning_secure_coding_violation,Reasoning_mitigation,Reasoning_cia_impact,Reasoning_exploit_expl,Exploit_Exploit_Code,Exploit_exploited_versions,Exploit_abusable_interfaces,Exploit_exploit_steps,Exploit_privs_req,Exploit_exploit_privs,Exploit_remote_exploitability,Exploit_crash_dump,Patch_patch_expl,Patch_patch_date,Patch_patched_versions,Patch_Code_diff,Patch_Patch_code,SCORES_score_explain
CVE-2013-4514,3.0,3.0,4.0,5.0,5.0,3.0,1.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0
CVE-2020-12826,5.0,3.0,3.0,5.0,2.0,4.0,5.0,4.0,5.0,1.0,1.0,1.0,3.0,5.0,1.0,5.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0
CVE-2010-3904,5.0,3.0,5.0,1.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,1.0,5.0,1.0,2.0,1.0,5.0,5.0
CVE-2020-12769,1.0,1.0,4.0,3.0,4.0,4.0,1.0,5.0,1.0,1.0,2.0,3.0,3.0,5.0,5.0,5.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0
CVE-2019-15922,5.0,3.0,4.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,4.0,5.0,5.0,1.0,5.0,1.0,3.0,1.0,3.0,3.0
CVE-2020-25211,2.0,5.0,5.0,5.0,4.0,3.0,1.0,3.0,1.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0
CVE-2010-1636,3.0,5.0,5.0,3.0,5.0,5.0,1.0,5.0,5.0,1.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,1.0,1.0,3.0
CVE-2017-18509,2.0,1.0,5.0,1.0,,2.0,1.0,,5.0,5.0,3.0,2.0,3.0,5.0,1.0,4.0,1.0,3.0,1.0,5.0,1.0,3.0,3.0
CVE-2013-4563,3.0,3.0,5.0,5.0,5.0,3.0,2.0,5.0,1.0,1.0,2.0,3.0,5.0,5.0,5.0,5.0,1.0,4.0,1.0,2.0,3.0,1.0,4.0
CVE-2019-15031,2.0,5.0,5.0,1.0,4.0,4.0,1.0,3.0,4.0,1.0,2.0,3.0,3.0,4.0,5.0,4.0,1.0,4.0,3.0,4.0,1.0,1.0,4.0
CVE-2020-25669,1.0,1.0,4.0,1.0,5.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,4.0,1.0,4.0,3.0,1.0,1.0,5.0,5.0
CVE-2022-0185,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,1.0,1.0,1.0,5.0,3.0,4.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,4.0
CVE-2020-10942,5.0,5.0,5.0,3.0,5.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,3.0,3.0,1.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,3.0
CVE-2021-27365,1.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0
CVE-2011-4604,3.0,5.0,5.0,3.0,4.0,3.0,1.0,4.0,1.0,5.0,3.0,3.0,3.0,5.0,5.0,4.0,1.0,5.0,1.0,1.0,3.0,1.0,3.0
CVE-2011-4087,2.0,5.0,5.0,1.0,5.0,,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,3.0,5.0,5.0
CVE-2013-6367,3.0,1.0,5.0,1.0,5.0,5.0,4.0,4.0,,3.0,2.0,3.0,5.0,3.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,3.0,3.0
CVE-2019-15924,5.0,3.0,5.0,5.0,4.0,,3.0,4.0,1.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,1.0,2.0,1.0,3.0,3.0,3.0,5.0
CVE-2013-1848,2.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0,,3.0,3.0,1.0,3.0,,1.0,3.0,1.0,5.0,2.0,1.0,3.0,5.0,2.0
CVE-2017-16939,5.0,1.0,5.0,3.0,3.0,5.0,1.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0
CVE-2015-0239,5.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,1.0,1.0,2.0,3.0,3.0,5.0,3.0,4.0,3.0,5.0,1.0,3.0,1.0,1.0,3.0
CVE-2021-23133,1.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,1.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0,4.0,1.0,1.0,3.0,4.0
CVE-2013-4348,5.0,3.0,5.0,1.0,5.0,,1.0,4.0,1.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,4.0,1.0,3.0,3.0,5.0,5.0
CVE-2019-15920,3.0,5.0,5.0,3.0,4.0,3.0,1.0,4.0,1.0,1.0,2.0,5.0,3.0,3.0,5.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0
CVE-2013-6431,1.0,1.0,5.0,1.0,5.0,4.0,2.0,5.0,4.0,5.0,4.0,1.0,3.0,5.0,5.0,5.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0
CVE-2013-1860,3.0,3.0,4.0,3.0,5.0,4.0,1.0,5.0,1.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,3.0,3.0
CVE-2013-4511,3.0,4.0,2.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,5.0,1.0,1.0,1.0,3.0,3.0
CVE-2017-16994,5.0,5.0,5.0,1.0,5.0,5.0,3.0,4.0,5.0,1.0,3.0,5.0,3.0,5.0,5.0,5.0,1.0,5.0,2.0,1.0,3.0,3.0,5.0
CVE-2022-24122,1.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,4.0,5.0,3.0,5.0,1.0,5.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0
CVE-2013-6380,3.0,1.0,3.0,1.0,5.0,4.0,1.0,5.0,5.0,5.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0
CVE-2013-4247,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,1.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0
CVE-2021-3493,1.0,1.0,5.0,5.0,5.0,1.0,2.0,5.0,5.0,1.0,3.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0
CVE-2016-6828,1.0,1.0,3.0,2.0,4.0,5.0,2.0,3.0,4.0,1.0,3.0,2.0,5.0,5.0,5.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0
CVE-2023-40791,3.0,5.0,3.0,1.0,4.0,4.0,1.0,4.0,5.0,5.0,4.0,1.0,3.0,5.0,5.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0
CVE-2021-3739,5.0,4.0,5.0,3.0,5.0,3.0,2.0,4.0,5.0,5.0,1.0,2.0,3.0,5.0,5.0,5.0,5.0,4.0,1.0,3.0,1.0,1.0,5.0
CVE-2022-0286,5.0,5.0,3.0,5.0,5.0,4.0,1.0,5.0,1.0,1.0,2.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,5.0,3.0
CVE-2019-19807,3.0,1.0,5.0,3.0,5.0,3.0,1.0,3.0,1.0,5.0,3.0,1.0,5.0,4.0,5.0,5.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0
CVE-2014-3601,1.0,3.0,5.0,1.0,5.0,4.0,1.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0
CVE-2018-18955,2.0,5.0,5.0,3.0,5.0,2.0,3.0,3.0,4.0,1.0,2.0,5.0,3.0,2.0,5.0,5.0,1.0,4.0,1.0,3.0,1.0,3.0,5.0
CVE-2020-27152,1.0,1.0,5.0,1.0,5.0,4.0,1.0,5.0,1.0,5.0,1.0,2.0,3.0,5.0,5.0,5.0,1.0,4.0,1.0,2.0,3.0,3.0,5.0
CVE-2011-2496,5.0,5.0,5.0,5.0,4.0,,2.0,5.0,1.0,1.0,3.0,5.0,5.0,4.0,5.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0
CVE-2013-6381,3.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,1.0,4.0,1.0,2.0,3.0,3.0,3.0
