,Mean Correctness
Localization_Function_name,3.16
Localization_File_name,3.53
Localization_Vulnerable_OS_component,4.5
CWE_Weakness_Type,3.3
Reasoning_root_cause,4.65
Reasoning_secure_coding_violation,4.06
Reasoning_mitigation,2.05
Reasoning_cia_impact,4.32
Reasoning_exploit_expl,3.0
Exploit_Exploit_Code,3.02
Exploit_exploited_versions,2.59
Exploit_abusable_interfaces,3.06
Exploit_exploit_steps,3.51
Exploit_privs_req,4.33
Exploit_exploit_privs,4.34
Exploit_remote_exploitability,4.56
Exploit_crash_dump,1.74
Patch_patch_expl,3.89
Patch_patch_date,1.52
Patch_patched_versions,1.79
Patch_Code_diff,1.83
Patch_Patch_code,2.54
SCORES_score_explain,3.79
